测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
cmake,oe_test_ccmake,2023-07-27-18:02:37.log,"timeout
",0,0,0,0,0,0,0,0,1
cmake,oe_test_ccmake3,2023-07-27-18:07:38.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_power_measurement_internal,2023-07-27-22:23:59.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_ctags,2023-07-27-18:41:58.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_disk_graphics_card,2023-07-28-01:35:10.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_net_IPVLAN,2023-07-28-01:14:35.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_system_monitor_login,2023-07-27-19:10:26.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
os-basic,oe_test_xmlsec,2023-07-28-02:05:58.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_disk_io_sched,2023-07-28-02:10:13.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_bond,2023-07-28-01:33:03.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_server_squid_blacklist,2023-07-27-19:35:27.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_catman,2023-07-27-18:46:09.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_zlib,2023-07-28-01:45:21.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_libffi,2023-07-28-02:00:42.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_dmraid,2023-07-27-18:48:46.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_csplit,2023-07-27-18:40:54.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_aureport,2023-07-28-02:13:18.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
os-basic,oe_test_net_ncat,2023-07-28-01:30:35.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
os-basic,oe_test_net_cmd_ping,2023-07-28-01:25:39.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_server_mariadb_compatibilty,2023-07-27-20:32:54.log,"timeout
",0,0,0,0,0,0,0,0,1
